epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,10000,0,1,0.768177,0,0.768177,7681.77,0,7681.77,7681.77
2,20000,0,0.902604,0.724472,0,0.724472,7244.72,0,7244.72,7244.72
3,30000,0,0.965039,0.782908,0,0.782908,7829.08,0,7829.08,7829.08
4,40000,0,0.88156,0.744054,0,0.744054,7440.54,0,7440.54,7440.54
5,50000,0,0.937066,0.799547,0,0.799547,7995.47,0,7995.47,7995.47
6,60000,0,0.85779,0.760498,0,0.760498,7604.98,0,7604.98,7604.98
7,70000,0,0.913575,0.817863,0,0.817863,8178.63,0,8178.63,8178.63
8,80000,0,0.831624,0.773158,0,0.773158,7731.58,0,7731.58,7731.58
