epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,10000,0.768177,-0.268177,0.768177,19,30,37,0,38.3138,0,0,0,0.0360875,4.72107
2,20000,0.735651,-0.235651,0.751914,22,35,43,0,0.0039,0,0,0,0,0
3,30000,0.752302,-0.252302,0.752043,0,0,0,0,0.0044,0,0,0,0,0
4,40000,0.721968,-0.221968,0.744524,24,46,62,0,38.3028,0,0,0.00011875,0.145363,7.70006
5,50000,0.753164,-0.253164,0.746252,23,43,57,0,38.3467,0,0,9.375e-05,0.121406,7.12428
6,60000,0.783704,-0.283704,0.752494,22,40,53,0,38.4244,0,0,0,0.0948062,6.67359
7,70000,0.809295,-0.309295,0.760609,22,39,50,0,38.411,0,0,0,0.0866313,6.35841
