epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,10000,0,1,0.768177,0,0.768177,7681.77,0,7681.77,7681.77
2,20000,0,0.92,0.735651,0,0.735651,7356.51,0,7356.51,7356.51
3,30000,0,0.9305,0.752302,0,0.752302,7523.02,0,7523.02,7523.02
4,40000,0,0.86162,0.721968,0,0.721968,7219.68,0,7219.68,7219.68
5,50000,0,0.896972,0.753164,0,0.753164,7531.64,0,7531.64,7531.64
6,60000,0,0.918183,0.783704,0,0.783704,7837.04,0,7837.04,7837.04
7,70000,0,0.93091,0.809295,0,0.809295,8092.95,0,8092.95,8092.95
