epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,10000,0.768177,9.23182,0.768177,19,30,37,0,38.3138,0,0,0,0.0360875,4.72107
2,20000,0.787041,9.21296,0.777609,18,32,34,0,0.0037,0,0,0,0,0
3,30000,0.805996,9.194,0.787071,0,0,0,0,0.0043,0,0,0,0,0
4,40000,0.824611,9.17539,0.796456,19,30,37,0,38.3212,0,0,0,0.034275,4.70936
5,50000,0.8435,9.1565,0.805865,19,30,37,0,38.3399,0,0,0,0.0378438,4.73283
6,60000,0.862571,9.13743,0.815316,19,30,37,0,38.415,0,0,0,0.0338188,4.75528
