epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,10000,0.768177,-0.268177,0.768177,19,30,37,0,38.3138,0,0,0,0.0360875,4.72107
2,20000,0.758282,-0.258282,0.76323,21,32,35,0,0.004,0,0,0,0,0
3,30000,0.743677,-0.243677,0.756712,0,0,0,0,0.0045,0,0,0,0,0
4,40000,0.725953,-0.225953,0.749022,24,45,59,0,38.3076,0,0,0,0.129637,7.51547
5,50000,0.738547,-0.238547,0.746927,24,46,61,0,38.3338,0,0,6.25e-05,0.13365,7.67701
6,60000,0.746575,-0.246575,0.746869,25,49,67,0,38.4279,0,0,2.5e-05,0.179775,8.18469
7,70000,0.758495,-0.258495,0.74853,25,50,67,0,38.4016,0,0,6.25e-06,0.176231,8.2852
