epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,10000,0,1,0.768177,0,0.768177,7681.77,0,7681.77,7681.77
2,20000,0,0.958,0.758282,0,0.758282,7582.82,0,7582.82,7582.82
3,30000,0,0.9034,0.743677,0,0.743677,7436.77,0,7436.77,7436.77
4,40000,0,0.85006,0.725953,0,0.725953,7259.53,0,7259.53,7259.53
5,50000,0,0.853321,0.738547,0,0.738547,7385.47,0,7385.47,7385.47
6,60000,0,0.849572,0.746575,0,0.746575,7465.75,0,7465.75,7465.75
7,70000,0,0.842084,0.758495,0,0.758495,7584.95,0,7584.95,7584.95
